Question,Answer
Hi,"Hello! How can I help you today?"
Hello,"Hello! How can I help you today?"
Hey,"Hello! How can I help you today?"
Good morning,"Good morning! How can I help you today?"
Good afternoon,"Good afternoon! How can I help you today?"
Good evening,"Good evening! How can I help you today?"
What is the full form of SRIT?,"SRIT stands for **Srinivasa Ramanujan Institute of Technology**, an autonomous engineering college located in Rotarypuram, Anantapuramu, Andhra Pradesh."
Full form of SRIT,"SRIT stands for **Srinivasa Ramanujan Institute of Technology**, an autonomous engineering college located in Rotarypuram, Anantapuramu, Andhra Pradesh."
SRIT full form,"SRIT stands for **Srinivasa Ramanujan Institute of Technology**, an autonomous engineering college located in Rotarypuram, Anantapuramu, Andhra Pradesh."
Where is SRIT located?,"SRIT is situated in Rotarypuram, B.K. Samudram Mandal, Anantapuramu - 515701, Andhra Pradesh."
Is SRIT an autonomous institution?,"Yes, SRIT is an autonomous institution affiliated with Jawaharlal Nehru Technological University Anantapur (JNTUA) and approved by AICTE."
Is SRIT accredited?,"Yes, SRIT is accredited by NAAC with an 'A' grade and NBA for the programs in CSE, ECE, and EEE."
When was SRIT founded?,"SRIT was founded in 2008."
Who is the principal of SRIT?,"Dr. G. Balakrishna is the Principal of SRIT, providing excellent leadership and vision for the institute."
Principal of SRIT,"Dr. G. Balakrishna is the Principal of SRIT, providing excellent leadership and vision for the institute."
Name of SRIT principal,"Dr. G. Balakrishna is the Principal of SRIT, providing excellent leadership and vision for the institute."
Who is the Vice President of SRIT?,"Dr. M. Ranjit Reddy is the Vice President of SRIT, supporting administration and student development."
Vice President of SRIT,"Dr. M. Ranjit Reddy is the Vice President of SRIT, supporting administration and student development."
Name of SRIT Vice President,"Dr. M. Ranjit Reddy is the Vice President of SRIT, supporting administration and student development."
Who is the Chairperson of SRIT?,"Jonnalagadda Padmavathy is the Chairperson of SRIT, guiding the institute towards academic excellence."
Chairperson of SRIT,"Jonnalagadda Padmavathy is the Chairperson of SRIT, guiding the institute towards academic excellence."
Who is the Secretary of SRIT?,"Aluru Sambasiva Reddy is the Secretary & Correspondent of SRIT, committed to the overall development of students."
Secretary and Correspondent of SRIT,"Aluru Sambasiva Reddy is the Secretary & Correspondent of SRIT, committed to the overall development of students."
